# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-02-19 12:30:17 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09085100 COLORADO RIVER BELOW GLENWOOD SPRINGS, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 09085100
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#    06   00010     00001     Temperature, water, degrees Celsius (Maximum)
#    06   00010     00002     Temperature, water, degrees Celsius (Minimum)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd	06_00010_00001	06_00010_00001_cd	06_00010_00002	06_00010_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	09085100	1980-01-18	1860	A	9.1	A	4.1	A
USGS	09085100	1980-01-19	1840	A	8.4	A	5.1	A
USGS	09085100	1980-01-20	1810	A	5.3	A	3.9	A
USGS	09085100	1980-01-21	1740	A	4.8	A	3.1	A
USGS	09085100	1980-01-22	1700	A	4.3	A	2.9	A
USGS	09085100	1980-01-23	1570	A	3.8	A	2.1	A
USGS	09085100	1980-01-24	1560	A	4.0	A	2.5	A
USGS	09085100	1980-01-25	1710	A	4.1	A	2.7	A
USGS	09085100	1980-01-26	1840	A	4.3	A	2.9	A
USGS	09085100	1980-01-27	1810	A	4.1	A	3.5	A
USGS	09085100	1980-01-28	1810	A	4.0	A	3.5	A
USGS	09085100	1980-01-29	1780	A	3.9	A	2.8	A
USGS	09085100	1980-01-30	1780	A	4.0	A	2.1	A
USGS	09085100	1980-01-31	1540	A	2.4	A	0.3	A
USGS	09085100	1980-02-01	1560	A	3.0	A	0.5	A
USGS	09085100	1980-02-02	1770	A	2.9	A	1.4	A
USGS	09085100	1980-02-03	1880	A	3.6	A	1.8	A
USGS	09085100	1980-02-04	1840	A	4.9	A	3.3	A
USGS	09085100	1980-02-05	1750	A	4.3	A	2.9	A
USGS	09085100	1980-02-06	1740	A	3.9	A	2.7	A
USGS	09085100	1980-02-07	1770	A	4.0	A	2.9	A
USGS	09085100	1980-02-08	1630	A	3.0	A	1.5	A
USGS	09085100	1980-02-09	1530	A	1.5	A	0.0	A
USGS	09085100	1980-02-10	1450	A	1.5	A	0.0	A
USGS	09085100	1980-02-11	1480	A	1.5	A	0.0	A
USGS	09085100	1980-02-12	1530	A	1.5	A	0.0	A
USGS	09085100	1980-02-13	1650	A	2.6	A	0.8	A
USGS	09085100	1980-02-14	1720	A	2.6	A	1.6	A
USGS	09085100	1980-02-15	1920	A	3.6	A	2.4	A
USGS	09085100	1980-02-16	1940	A	4.1	A	3.0	A
